time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 240367.077575 0.0 0.0 0.0 0.0
0.2 42255.6410594 240367.077575 -2371.38401735 -7.1483379129e-06 -0.020202707317519355 1.85847147737e-07
0.4 43647.6505257 460704.329006 -3638.62090981 -1.73116301292e-05 -0.04082199452025494 4.27208245856e-07
0.6 43980.0192399 679837.09577 -3619.86291687 -2.75606756492e-05 -0.06187540371808729 7.77242483719e-07
0.8 45602.2373992 886186.70124 1208.9243085 -3.84806777087e-05 -0.08338160893905078 1.05849984524e-06
1.0 44785.5685726 1093012.2615 -2024.39648519 -4.90596010943e-05 -0.1053605156578259 1.2189937848e-06
1.2 56488.3356275 1251755.12232 8446.50353162 -6.0434599257e-05 -0.12783337150988439 3.33439546057e-06
1.4 61044.8643153 1434936.45993 19150.3794177 -7.13412459518e-05 -0.150822889734583 4.9655745007e-06
1.6 59609.1082139 1570834.03519 14040.9626517 -8.3014327982e-05 -0.17435338714477713 5.27290894382e-06
1.8 64823.0565928 1726888.99478 11992.0353566 -9.42437222135e-05 -0.1984509387238375 7.66365378868e-06
2.0 66062.8378996 1895539.7569 11172.5077477 -0.000105807359023 -0.22314355131420888 8.39579245816e-06
2.2 65169.2657147 1913293.5705 9422.88115056 -0.000116176462718 -0.24846135929849875 1.02378405406e-05
2.4 67370.3298864 1984753.22093 18767.4488225 -0.000123488758167 -0.2744368457017594 1.78611197334e-05
2.6 84006.0585754 1794688.76497 59127.1948726 -0.000134487726682 -0.3011050927839207 1.73621219488e-05
2.8 112654.704855 1850648.62359 29802.6377523 -0.000142476299193 -0.32850406697203516 1.17419316843e-05
3.0 54747.9062264 1733627.15022 68342.7293866 -0.000149709656318 -0.3566749439387315 9.08368759661e-06
3.2 96950.3649367 1399408.93855 80822.0876706 -0.000147976823453 -0.3856624808119838 1.38980589139e-05
3.4 89055.1744112 1247318.45896 55638.2080976 -0.000154205234803 -0.4155154439616648 1.41454867618e-05
3.6 105194.929625 1209904.47216 61144.8663645 -0.000156347532775 -0.4462871026284185 1.91217751816e-05
3.8 101578.165072 1217822.97127 76367.5702119 -0.000163541422048 -0.47803580094299875 2.26701196793e-05
4.0 101371.474011 1161334.80068 58176.4674821 -0.000169087276207 -0.5108256237659896 2.54208991325e-05
4.2 93927.2769251 1094527.68343 36693.8052332 -0.000169552210417 -0.5378542961539089 3.20825840484e-05
4.4 83981.8427294 1102005.62659 34651.8909034 -0.000173448449726 -0.5586162876023381 2.77167267123e-05
4.6 81380.7911639 1129282.65354 20051.6350437 -0.000177344448742 -0.572701027484077 2.52148395267e-05
4.8 78792.8636293 1146552.7129 9687.99051069 -0.000179783048196 -0.579818495252941 2.30786401516e-05
5.0 75104.8611784 1151799.13935 -574.729816309 -0.000180662103247 -0.579818495252941 2.11148065144e-05
5.2 70140.6905982 1143901.74214 -7273.22571126 -0.000180015799509 -0.572701027484077 1.97281126341e-05
5.4 61803.723988 1120227.35428 -12391.6688839 -0.000177957031243 -0.5586162876023381 1.84921287866e-05
5.6 52963.1361835 1082657.4764 -17893.4384962 -0.000174247015473 -0.5378542961539091 1.70073175983e-05
5.8 43428.9816219 1030697.22122 -22928.0109863 -0.000168850164234 -0.5108256237659898 1.54222730261e-05
6.0 33347.8722636 963823.58904 -27838.671172 -0.00016171857039 -0.4780358009429989 1.36925775601e-05
6.2 27560.1952841 891316.476027 -31271.2592058 -0.000153379134447 -0.44628710262841864 1.21226015532e-05
6.4 24161.0364937 819360.056346 -33297.3385971 -0.000144884781655 -0.41551544396166495 1.08040758901e-05
6.6 21477.1883071 749428.766232 -34769.5528242 -0.000136421802925 -0.38566248081198395 9.62329160967e-06
6.8 17777.9859968 679974.691356 -35288.5356168 -0.000128046146677 -0.35667494393873167 8.53298480251e-06
7.0 14489.8828407 611909.343362 -35518.1384678 -0.000119705460416 -0.3285040669720353 7.5916843285e-06
7.2 10774.7816448 543629.802753 -35216.3841292 -0.00011143696115 -0.3011050927839209 6.70100182425e-06
7.4 7104.86380126 475655.584356 -35535.7409082 -0.000103239036338 -0.2744368457017595 5.70293053077e-06
7.6 4054.8741563 409202.398094 -35390.2132037 -9.50353042456e-05 -0.24846135929849902 4.7247770434e-06
7.8 679.331846088 347439.903326 -35342.929597 -8.68862475794e-05 -0.22314355131420915 3.7456605684e-06
8.0 -3731.15501175 277877.676764 -34859.9252647 -7.87460957534e-05 -0.1984509387238375 2.87827475065e-06
8.2 -7658.9031767 209672.98048 -33839.8159874 -7.06722904726e-05 -0.17435338714477713 1.99824646314e-06
8.4 -11810.3929597 153346.657641 -34249.0559364 -6.27781818414e-05 -0.15082288973458288 9.09255566917e-07
8.6 -14908.7410489 82516.5377564 -33566.7061215 -5.4503713722e-05 -0.12783337150988425 8.51119772907e-08
8.8 -17688.809293 12252.6839199 -32835.9038181 -4.61927232489e-05 -0.10536051565782553 -7.92736540637e-07
9.0 -17254.8353089 -55265.9224167 -33492.323538 -3.77219115718e-05 -0.08338160893905042 -1.8007496485e-06
9.2 -13522.0119504 -90176.2781909 -32426.4524434 -2.97908559823e-05 -0.06187540371808682 -2.82566455264e-06
9.4 -10720.6563567 -139616.801068 -37714.337596 -2.19120366613e-05 -0.04082199452025447 -4.94834967252e-06
9.6 -18994.445558 -209811.196386 -39947.8679117 -1.4367172381e-05 -0.020202707317518786 -5.92068849566e-06
9.8 -23527.6029673 -290175.956396 -36823.5558587 -6.44531086586e-06 6.661338147750937e-16 -5.92051838715e-06
10.0 -28338.4407304 -374918.245012 -33207.1649321 1.71477724618e-06 0.019802627296180382 -5.73619794839e-06
