time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -7230298.38694 0.0 0.0 0.0 0.0
0.4 -5427393.30417 -7230298.38694 7712.2833012 -0.000155404448031 -0.040821994520255166 -1.54130543985e-05
0.8 -5448423.8137 -11327691.1374 84031.3649108 6.7064478462e-05 -0.08338160893905114 -2.5462719677e-05
1.2 -5459163.60961 -14766898.8288 85219.3147117 0.000359716766729 -0.12783337150988502 -5.41534157071e-05
1.6 -5586421.28723 -17344599.0351 16297.2164117 0.000765601965258 -0.1743533871447779 -8.85778866888e-05
2.0 -5716835.22919 -19228685.9696 -1950.68615735 0.00130704121489 -0.22314355131421 -0.000115092396103
2.4 -5677743.83175 -20976687.0303 -3081.31934307 0.00183510909984 -0.2744368457017606 -0.00013857785288
2.8 -5603240.32253 -22737931.514 -14923.4287463 0.00241045287477 -0.3285040669720364 -0.000155348701044
3.2 -5702839.62566 -24282735.5777 -919.855153958 0.00305124436092 -0.38566248081198506 -0.000177630527568
3.6 -5673180.63013 -25655313.476 79223.5395044 0.003754451872 -0.44628710262842003 -0.000209023895139
4.0 -5802382.05176 -27138861.9832 109694.945777 0.00449330300714 -0.5108256237659913 -0.00026136198027
4.4 -5693774.89444 -28148949.8878 67664.2111519 0.00535692436607 -0.5798184952529428 -0.000326075061262
4.8 -5690138.14649 -29361902.5669 56066.0858495 0.00615563369112 -0.6539264674066646 -0.000397965015156
5.2 -5661233.44426 -30389669.0354 96242.6745399 0.00700650464669 -0.7339691750802012 -0.000440504980006
5.6 -5727404.93139 -31661379.8837 34517.9723874 0.00784827602034 -0.820980552069831 -0.000487327451738
6.0 -5672967.15436 -32430452.0217 60577.0980684 0.00881264908657 -0.916290731874156 -0.000514321713671
6.4 -5648629.461 -33166920.1978 62500.7525153 0.00971521969387 -1.0216512475319826 -0.000547061003373
6.8 -5646923.64685 -34117885.1835 57937.0367687 0.0106120496237 -1.139434283188366 -0.000579868069529
7.2 -5543838.07674 -34801572.1763 83539.9968559 0.0115981222516 -1.2729656758128887 -0.000573975459094
7.6 -5612564.4944 -35805903.3356 91980.4431937 0.0125032324995 -1.4271163556401472 -0.000595921630928
8.0 -5603803.08366 -36627572.2377 116932.644004 0.0134811508102 -1.609437912434102 -0.000629282658569
8.4 -5535237.07271 -37236220.6977 87655.1213947 0.0144111708023 -1.7837912995788803 -0.000662792195283
8.8 -5468622.88365 -37372571.4885 116229.556342 0.0152895436062 -1.937941979406139 -0.000724913239902
9.2 -5314739.91457 -37249708.225 74753.3202758 0.0159880793943 -2.0557250150625226 -0.000789902873197
9.6 -5191460.30336 -37118240.8023 51673.9069349 0.0164122065301 -2.1202635362000937 -0.000832054553142
10.0 -5088248.61158 -36616534.0522 5300.87764233 0.0167212712803 -2.1202635362000937 -0.000876569326392
10.4 -4924785.10111 -35977848.0261 19104.8222939 0.0168133428627 -2.0557250150625226 -0.000888766014796
10.8 -4764073.01446 -35184209.8466 4182.61833766 0.0166868442756 -1.9379419794061383 -0.000894022351082
11.2 -4612543.59901 -34178030.1119 -19776.5752845 0.0163743862578 -1.7837912995788803 -0.000889224375666
11.6 -4459188.60695 -32921776.4581 -36410.9728676 0.0158833235737 -1.609437912434102 -0.000878767510488
12.0 -4302056.10874 -31456183.1037 -52955.1704512 0.0152072697991 -1.4271163556401472 -0.000859359066793
12.4 -4216111.95008 -30057361.9324 -70479.001298 0.014378929533 -1.2729656758128884 -0.000833325393384
12.8 -4170491.30642 -28745287.7788 -78531.5325317 0.0135062020931 -1.1394342831883657 -0.000799418377135
13.2 -4140956.04668 -27487903.4542 -81846.8491928 0.0126179754999 -1.0216512475319826 -0.000764737096234
13.6 -4125417.8212 -26236229.6624 -95614.8155701 0.0117150022673 -0.916290731874156 -0.000729196268091
14.0 -4106157.66166 -24956805.5902 -103124.666233 0.0108176650606 -0.820980552069831 -0.000690337481537
14.4 -4079622.35241 -23669664.2505 -108571.853192 0.00991321375518 -0.7339691750802011 -0.000654899678746
14.8 -4051782.62977 -22408191.4459 -109026.698787 0.00901394189741 -0.6539264674066644 -0.000616313984857
15.2 -4030372.06786 -21152062.6905 -101442.473912 0.00813030381124 -0.5798184952529428 -0.000581327446485
15.6 -4044768.21338 -19865896.7785 -108401.060185 0.0072492467788 -0.5108256237659913 -0.000545053835319
16.0 -4048309.91715 -18487642.0283 -112913.984771 0.00640432843525 -0.44628710262842003 -0.000504182524683
16.4 -4040108.86727 -17074822.2645 -103068.084321 0.00559832531353 -0.3856624808119854 -0.000457341339202
16.8 -4026330.65329 -15624609.0236 -89789.7930305 0.00482716984212 -0.3285040669720364 -0.000405268717901
17.2 -4026451.29276 -14197833.3338 -94219.4701188 0.00407043278945 -0.27443684570176086 -0.000358195157352
17.6 -4029030.85727 -12789929.6719 -95229.5811461 0.00331946873027 -0.22314355131421 -0.000306805069077
18.0 -4015239.08064 -11381603.7248 -86341.6470629 0.00259113589501 -0.1743533871447782 -0.000254414081914
18.4 -4036197.95333 -9956095.04214 -101590.233601 0.00187132835165 -0.12783337150988539 -0.000205192511178
18.8 -4079806.53021 -8372296.16214 -90656.7616101 0.00120752419018 -0.08338160893905137 -0.000153368281347
19.2 -4155886.8831 -6682538.93454 -100067.505205 0.000617029773162 -0.04082199452025551 -0.00010935445932
19.6 -4281241.55825 -4693234.20337 -133435.80431 0.000106513781373 -2.2204460492503136e-16 -7.22484514603e-05
20.0 -4463856.89818 -1891796.61336 -156556.838084 -0.000254625854243 0.039220713153280906 -3.96128856331e-05
