time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -4140095.43936 0.0 0.0 0.0 0.0
0.4 -679299.858851 -4140095.43936 43296.8785516 0.000176529979478 -0.040821994520255166 -6.02968434279e-06
0.8 -1061933.77598 -6465404.17515 107713.496473 0.000570446777892 -0.08338160893905114 -4.48262186361e-05
1.2 -1180760.20417 -7558791.84643 -302.580361043 0.00123335670028 -0.12783337150988502 -7.95906955042e-05
1.6 -1227072.00859 -8492318.25776 52971.7717644 0.00197414660774 -0.1743533871447779 -0.000101045457808
2.0 -1303587.00256 -9370015.95313 100666.144311 0.00278840958425 -0.22314355131421 -0.00013074920063
2.4 -1310402.36723 -10063257.9156 37092.9081613 0.00366617813083 -0.2744368457017606 -0.0002069357813
2.8 -1290730.40962 -10430451.413 93673.4247428 0.00469232589423 -0.3285040669720364 -0.000271600878387
3.2 -1227422.72458 -10891943.7181 131098.18136 0.0057156362532 -0.38566248081198506 -0.000302775245617
3.6 -1201753.40251 -11267512.0585 75217.4049282 0.00683554283737 -0.44628710262842003 -0.000327796990108
4.0 -1162424.87709 -11607740.377 115543.83688 0.00796468262333 -0.5108256237659913 -0.000328835648255
4.4 -1210451.41969 -11922221.2209 73871.7611644 0.00913522062804 -0.5798184952529428 -0.000341853427554
4.8 -1188532.28988 -12347863.8364 40698.4618807 0.0102244901902 -0.6539264674066646 -0.000350187561525
5.2 -1075459.81515 -12229745.686 134717.283467 0.0115322782567 -0.7339691750802012 -0.000348974686104
5.6 -1066986.90481 -12372820.9941 117064.791296 0.0128768213008 -0.820980552069831 -0.000377721250258
6.0 -1075070.02834 -12719438.9146 131963.88367 0.0141738636522 -0.916290731874156 -0.000438645282064
6.4 -1075585.63849 -12693536.2566 154135.199271 0.015775150891 -1.0216512475319826 -0.000476521746786
6.8 -1023406.00823 -12778034.1315 110783.950942 0.0171941159358 -1.139434283188366 -0.000573683166119
7.2 -1010358.2381 -12741363.1458 119651.866274 0.0186186174463 -1.2729656758128887 -0.000647978862223
7.6 -1033407.05649 -12872837.4536 141998.736951 0.0201060857907 -1.4271163556401472 -0.000684345260219
8.0 -990329.410421 -13076511.5726 117560.440844 0.0214850365923 -1.609437912434102 -0.000776178558305
8.4 -959650.005005 -12994236.4723 107220.580292 0.0229722066081 -1.7837912995788803 -0.00085028391906
8.8 -844640.365631 -12370056.5044 97287.7622526 0.024386538125 -1.937941979406139 -0.000863220073825
9.2 -644874.426279 -11287017.0598 90814.9825817 0.0257742132113 -2.0557250150625226 -0.000914347193845
9.6 -608558.667354 -10084863.9349 132628.853182 0.0270217406153 -2.1202635362000937 -0.00103165505426
10.0 -489498.221638 -8990761.70299 39638.8605678 0.0282396990112 -2.1202635362000937 -0.00112123956844
10.4 -391586.141152 -8032137.45353 40131.9929665 0.0290241437391 -2.0557250150625226 -0.00115509742228
10.8 -335766.155699 -7128514.07719 42906.0691867 0.0295400655965 -1.9379419794061383 -0.00120299593533
11.2 -257893.161553 -6110269.16691 70033.719884 0.0298871106186 -1.7837912995788803 -0.00127883597589
11.6 -162104.126559 -4890090.19461 73237.8885862 0.0301405944149 -1.609437912434102 -0.00133898104558
12.0 -109086.029576 -3656838.89288 -9529.28918291 0.0302677506244 -1.4271163556401472 -0.00140882081438
12.4 -47327.222416 -2685404.26877 -2368.01740665 0.0303234720244 -1.2729656758128884 -0.00141333695537
12.8 -4303.38650756 -1592989.09764 17107.8978879 0.0303187362267 -1.1394342831883657 -0.00143548630234
13.2 28168.7906069 -814388.954409 27899.7820938 0.0303166170771 -1.0216512475319826 -0.00142945130721
13.6 21551.105822 -405539.627879 14430.5476141 0.0303488649868 -0.916290731874156 -0.0014154476422
14.0 27984.5311641 -178794.607297 15301.5457442 0.0303667881117 -0.820980552069831 -0.00144305203119
14.4 20096.8908039 -68652.2763566 11222.7875897 0.0303999857818 -0.7339691750802011 -0.00149517770208
14.8 18751.4003034 24737.8189592 2601.68603373 0.0304310120331 -0.6539264674066644 -0.00153468480473
15.2 12382.5887704 23428.5371268 -7873.70693959 0.0304652768497 -0.5798184952529428 -0.00157060244346
15.6 9708.95689758 27972.3618115 -10680.1989372 0.0304744083293 -0.5108256237659913 -0.0016122721049
16.0 15359.798522 26735.6808429 -5333.18781476 0.0304723669644 -0.44628710262842003 -0.0016450576058
16.4 20919.075634 41097.0854112 -8155.76592808 0.0304645160391 -0.3856624808119854 -0.00164565611974
16.8 15709.8294694 67945.128991 -8715.99640025 0.030458940795 -0.3285040669720364 -0.00164354047933
17.2 11793.7583886 81658.6017223 -7687.97431955 0.0304656713806 -0.27443684570176086 -0.00163930396201
17.6 13744.247435 90070.5510343 -5636.52452229 0.03045846355 -0.22314355131421 -0.00162187103791
18.0 13407.208719 74542.4596303 -10885.1456199 0.0304544060555 -0.1743533871447782 -0.00160632507394
18.4 8734.65909768 55291.4007132 -5083.04593827 0.0304537075473 -0.12783337150988539 -0.00157498769034
18.8 12937.9198848 67058.7255888 3160.20990783 0.0304792156858 -0.08338160893905137 -0.00156539316203
19.2 14489.0127863 73866.2936575 6461.226106 0.0304868003956 -0.04082199452025551 -0.00155201026481
19.6 12586.0367083 62407.9556602 147.302014589 0.0304807892654 -2.2204460492503136e-16 -0.00153876896085
20.0 10316.5673834 58627.9816288 -7933.90114555 0.030453870145 0.039220713153280906 -0.00153954507362
