time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.1 -3339127.44865 -30558985.7721 56900.543742 0.000129239875206 -0.00100050033358 -1.85480921864e-05
0.2 -4593240.32951 -57648629.3106 233488.621816 0.000435563358501 -0.00200200267067 -4.55137921376e-05
0.3 -5438491.53116 -81506913.0066 379473.667497 0.000870178270309 -0.0030045090203 -8.46847533791e-05
0.4 -6172464.90626 -103357735.01 421450.15107 0.0014115419639 -0.00400802139754 -0.000135495233037
0.5 -6840365.04441 -123837809.86 540587.861061 0.00204814503086 -0.00501254182354 -0.000192841731634
0.6 -7415850.55109 -142932745.29 481666.255196 0.00278771464464 -0.00601807232556 -0.000262515713751
0.7 -7898399.93428 -161576076.995 548352.520515 0.00359232999681 -0.00702461493696 -0.000333154048019
0.8 -8394798.48007 -179729527.768 672317.124631 0.00444997488751 -0.00803217169726 -0.00040104841165
0.9 -8904146.21654 -198095461.533 857215.857361 0.00536781907791 -0.00904074465215 -0.000473734494356
1.0 -9377957.20797 -215938068.576 1150832.00457 0.00632914872731 -0.0100503358535 -0.000546901311399
1.1 -9888737.00439 -233065132.932 1466603.94178 0.00734182694369 -0.0110609473594 -0.000631635324663
1.2 -10377710.905 -250272951.017 1691546.88384 0.00836511774276 -0.0120725812343 -0.000719466818869
1.3 -10861656.5935 -267009334.261 1943243.0929 0.00944806870263 -0.0130852395487 -0.00080633641765
1.4 -11318327.3877 -283536113.069 2160308.66189 0.0105781064637 -0.0140989243795 -0.000897512534936
1.5 -11729274.3068 -299493931.283 2301953.28459 0.0117675203552 -0.01511363781 -0.000994260650199
1.6 -12092038.5337 -314886752.783 2530330.99484 0.0129922597474 -0.0161293819299 -0.00108986334358
1.7 -12485791.0076 -329769705.361 2634846.15931 0.0142650092962 -0.017146158835 -0.00119543904926
1.8 -12884634.0846 -344626596.676 2723141.8484 0.015569450665 -0.0181639706277 -0.00130929276929
1.9 -13299991.273 -358604828.007 2632327.81284 0.0168976381015 -0.0191828194168 -0.00143303775129
2.0 -13624246.9205 -371852317.196 2365788.62143 0.0182304181049 -0.0202027073175 -0.0015633625782
2.1 -13925518.9345 -384572997.728 2349887.37052 0.0196613115142 -0.0212236364516 -0.00167917040479
2.2 -14204155.9578 -396019056.054 2244564.42563 0.0212632947658 -0.0222456089473 -0.00179551015476
2.3 -14541551.3805 -406691941.474 2355790.79147 0.0230267934591 -0.0232686269394 -0.00189286205405
2.4 -14831081.7405 -417575312.352 2267248.09089 0.0247476275462 -0.024292692569 -0.00200396724071
2.5 -15174020.6625 -427615210.62 1879821.75829 0.0264804590438 -0.0253178079843 -0.00211912030155
2.6 -15443534.3517 -436573889.486 1839823.60154 0.0282974142673 -0.0263439753396 -0.00223866479133
2.7 -15815667.7947 -445533704.297 1836580.78902 0.0301752004377 -0.0273711967961 -0.00236598293049
2.8 -16064236.9513 -453223399.057 1801838.08444 0.0321898416355 -0.0283994745217 -0.00250773105359
2.9 -16452182.3621 -461039833.207 1607812.84333 0.0342378911563 -0.0294288106908 -0.00265953813842
3.0 -16772585.0586 -469193126.841 1490130.16667 0.0363082853919 -0.0304592074847 -0.00279787229904
3.1 -17104761.0428 -476623728.451 1701219.16529 0.0384500127025 -0.0314906670914 -0.00295653529054
3.2 -17531817.3543 -484062961.676 1864188.67036 0.040588603676 -0.0325231917056 -0.0031263579669
3.3 -18114022.9712 -491108145.215 2331096.10097 0.04280999671 -0.0335567835288 -0.00328796435327
3.4 -18964098.6765 -497843530.948 2608203.22098 0.0449801816056 -0.0345914447696 -0.0034554016707
3.5 -19477588.7426 -503188110.721 2906251.30868 0.0472046637225 -0.0356271776432 -0.00364770555701
3.6 -20002852.0448 -508528988.681 2926043.64529 0.0494755044231 -0.0366639843716 -0.00385341781851
3.7 -20671322.0867 -511572742.171 3481293.85763 0.0518254270192 -0.037701867184 -0.00406562431383
3.8 -21272686.943 -514997573.246 3444342.32657 0.0542538052994 -0.0387408283164 -0.00429167896403
3.9 -21741485.3966 -518373225.883 3299835.98086 0.0567339885396 -0.0397808700118 -0.00451201115232
4.0 -22050909.7138 -520497113.889 2781457.06965 0.0593012409242 -0.0408219945203 -0.00477098284684
4.1 -22571797.0941 -522351007.632 2741372.94799 0.0619183890614 -0.0418642040987 -0.00501061239372
4.2 -23077513.3342 -524900942.589 2771677.66527 0.0646164941159 -0.0429075010113 -0.00520977826466
4.3 -23800121.8197 -525487942.835 2773318.0717 0.0675267317127 -0.0439518875292 -0.00540052460029
4.4 -25037238.0421 -525409038.625 2416013.42511 0.0706422917278 -0.0449973659307 -0.00549169117533
4.5 -25699021.641 -526121764.151 2071097.26918 0.0736538619684 -0.0460439385014 -0.0055277660622
4.6 -26181446.6513 -525851946.318 1833376.52747 0.0767234753642 -0.0468819859001 -0.00568678555194
4.7 -26464606.5297 -525205486.899 1601319.41846 0.0797196011838 -0.0475109826711 -0.00588514152963
4.8 -26772056.7045 -524823334.137 1301272.82019 0.082725408272 -0.0479305337575 -0.00608963523822
4.9 -26836906.3149 -524459773.879 843336.349804 0.0859589265374 -0.0481403753279 -0.00619835309775
5.0 -26798184.2484 -523216318.567 616274.785078 0.0892972578556 -0.0481403753279 -0.00635994779411
