time crIndex gridPoint
f i i
 2.0000e+000 189659 189993
 2.0000e+000 185726 190019
 2.0000e+000 185873 190045
 2.0000e+000 189703 190071
 2.0000e+000 187887 190143
 2.0000e+000 178986 190169
 2.0000e+000 178624 190195
 2.0000e+000 184277 190221
 2.0000e+000 189385 190247
 2.0000e+000 184453 190342
 2.0000e+000 179633 190368
 2.0000e+000 179894 190394
 2.0000e+000 182104 190420
 2.0000e+000 189175 190446
 2.0000e+000 188999 190541
 2.0000e+000 188955 190567
 2.0000e+000 189153 190593
 2.0000e+000 182126 190644
 2.0000e+000 179995 190670
 2.0000e+000 179973 190696
 2.0000e+000 188687 190722
 2.0000e+000 185895 190796
 2.0000e+000 181843 190822
 2.0000e+000 179143 190848
 2.0000e+000 179064 190874
 2.0000e+000 188375 190900
 2.0000e+000 188353 190997
 2.0000e+000 188085 191023
 2.0000e+000 184431 191049
 2.0000e+000 189681 191075
 2.0000e+000 187865 191149
 2.0000e+000 187285 191175
 2.0000e+000 187597 191201
 2.0000e+000 187909 191227
 2.0000e+000 189341 191301
 2.0000e+000 184233 191327
 2.0000e+000 189363 191353
 2.0000e+000 184849 191404
 2.0000e+000 179426 191430
 2.0000e+000 179454 191456
 2.0000e+000 187307 191482
 2.0000e+000 187087 191556
 2.0000e+000 186911 191582
 2.0000e+000 187131 191608
 2.0000e+000 186889 191659
 2.0000e+000 184651 191685
 2.0000e+000 182763 191711
 2.0000e+000 182495 191737
 2.0000e+000 186933 191763
 2.0000e+000 186691 191860
 2.0000e+000 183761 191886
 2.0000e+000 183959 191912
 2.0000e+000 186735 191938
 2.0000e+000 186537 192012
 2.0000e+000 185330 192038
 2.0000e+000 186713 192064
 2.0000e+000 186317 192115
 2.0000e+000 458 192141
 2.0000e+000 185986 192167
 2.0000e+000 186361 192193
 2.0000e+000 185018 192267
 2.0000e+000 185119 192293
 2.0000e+000 185075 192319
 2.0000e+000 186339 192345
 2.0000e+000 185704 192419
 2.0000e+000 181377 192445
 2.0000e+000 181276 192471
 2.0000e+000 185748 192497
 2.0000e+000 181355 192571
 2.0000e+000 185352 192597
 2.0000e+000 185550 192623
 2.0000e+000 179526 192674
 2.0000e+000 179554 192700
 2.0000e+000 185374 192726
 2.0000e+000 186515 192752
 2.0000e+000 177783 192826
 2.0000e+000 177181 192852
 2.0000e+000 180596 192878
 2.0000e+000 184996 192904
 2.0000e+000 185964 192930
 2.0000e+000 180618 193027
 2.0000e+000 180697 193053
 2.0000e+000 184871 193079
 2.0000e+000 184827 193105
 2.0000e+000 185097 193131
 2.0000e+000 184629 193228
 2.0000e+000 183075 193254
 2.0000e+000 180965 193280
 2.0000e+000 181226 193306
 2.0000e+000 184673 193332
 2.0000e+000 179086 193429
 2.0000e+000 179014 193455
 2.0000e+000 184475 193481
 2.0000e+000 188063 193507
 2.0000e+000 179476 193581
 2.0000e+000 178703 193607
 2.0000e+000 178964 193633
 2.0000e+000 187575 193659
 2.0000e+000 182183 193733
 2.0000e+000 181553 193759
 2.0000e+000 181399 193785
 2.0000e+000 185528 193811
 2.0000e+000 180278 193885
 2.0000e+000 180357 193911
 2.0000e+000 183783 193937
 2.0000e+000 183739 193963
 2.0000e+000 187109 193989
 2.0000e+000 178646 194086
 2.0000e+000 167747 194112
 2.0000e+000 167775 194138
 2.0000e+000 172801 194164
 2.0000e+000 183471 194190
 2.0000e+000 183449 194287
 2.0000e+000 183295 194313
 2.0000e+000 183251 194339
 2.0000e+000 184255 194365
 2.0000e+000 183097 194439
 2.0000e+000 183053 194465
 2.0000e+000 183273 194491
 2.0000e+000 181248 194542
 2.0000e+000 174848 194568
 2.0000e+000 174927 194594
 2.0000e+000 176640 194620
 2.0000e+000 182785 194646
 2.0000e+000 177102 194743
 2.0000e+000 176841 194769
 2.0000e+000 179504 194795
 2.0000e+000 183937 194821
 2.0000e+000 179576 194895
 2.0000e+000 176712 194921
 2.0000e+000 176039 194947
 2.0000e+000 175960 194973
 2.0000e+000 182205 194999
 2.0000e+000 181298 195096
 2.0000e+000 175188 195122
 2.0000e+000 175216 195148
 2.0000e+000 181865 195174
 2.0000e+000 175982 195248
 2.0000e+000 175295 195274
 2.0000e+000 175721 195300
 2.0000e+000 181575 195326
 2.0000e+000 178363 195400
 2.0000e+000 177981 195426
 2.0000e+000 180256 195452
 2.0000e+000 182473 195478
 2.0000e+000 172320 195552
 2.0000e+000 172399 195578
 2.0000e+000 174826 195604
 2.0000e+000 180987 195630
 2.0000e+000 188665 195704
 2.0000e+000 188643 195730
 2.0000e+000 480 195756
 2.0000e+000 188977 195782
 2.0000e+000 176762 195856
 2.0000e+000 176329 195882
 2.0000e+000 176590 195908
 2.0000e+000 179404 195934
 2.0000e+000 180675 195960
 2.0000e+000 179916 196057
 2.0000e+000 173162 196083
 2.0000e+000 173263 196109
 2.0000e+000 173219 196135
 2.0000e+000 180017 196161
 2.0000e+000 179036 196258
 2.0000e+000 174161 196284
 2.0000e+000 174587 196310
 2.0000e+000 179655 196336
 2.0000e+000 175238 196410
 2.0000e+000 171293 196436
 2.0000e+000 171719 196462
 2.0000e+000 173040 196488
 2.0000e+000 179165 196514
 2.0000e+000 176612 196611
 2.0000e+000 173467 196637
 2.0000e+000 173893 196663
 2.0000e+000 178725 196689
 2.0000e+000 176662 196763
 2.0000e+000 167257 196789
 2.0000e+000 167285 196815
 2.0000e+000 173090 196841
 2.0000e+000 178385 196867
 2.0000e+000 171980 196964
 2.0000e+000 172059 196990
 2.0000e+000 177080 197016
 2.0000e+000 180335 197042
 2.0000e+000 177761 197116
 2.0000e+000 177585 197142
 2.0000e+000 177805 197168
 2.0000e+000 177563 197219
 2.0000e+000 170905 197245
 2.0000e+000 173388 197271
 2.0000e+000 177607 197297
 2.0000e+000 173112 197371
 2.0000e+000 169827 197397
 2.0000e+000 169388 197423
 2.0000e+000 171958 197449
 2.0000e+000 177959 197475
 2.0000e+000 173410 197572
 2.0000e+000 172553 197598
 2.0000e+000 172700 197624
 2.0000e+000 176740 197650
 2.0000e+000 177159 197676
 2.0000e+000 172722 197773
 2.0000e+000 168912 197799
 2.0000e+000 169287 197825
 2.0000e+000 176351 197851
 2.0000e+000 168451 197925
 2.0000e+000 166691 197951
 2.0000e+000 166612 197977
 2.0000e+000 176061 198003
 2.0000e+000 168401 198077
 2.0000e+000 168429 198103
 2.0000e+000 176690 198129
 2.0000e+000 176819 198155
 2.0000e+000 166634 198229
 2.0000e+000 163503 198255
 2.0000e+000 163424 198281
 2.0000e+000 170782 198307
 2.0000e+000 175317 198333
 2.0000e+000 170804 198430
 2.0000e+000 167854 198456
 2.0000e+000 168229 198482
 2.0000e+000 175166 198508
 2.0000e+000 175699 198534
 2.0000e+000 166351 198631
 2.0000e+000 165969 198657
 2.0000e+000 167235 198683
 2.0000e+000 174905 198709
 2.0000e+000 173062 198783
 2.0000e+000 163968 198809
 2.0000e+000 164047 198835
 2.0000e+000 165116 198861
 2.0000e+000 168279 198887
 2.0000e+000 174183 198913
 2.0000e+000 168301 199033
 2.0000e+000 168329 199059
 2.0000e+000 173140 199085
 2.0000e+000 174565 199111
 2.0000e+000 169309 199185
 2.0000e+000 165600 199211
 2.0000e+000 165679 199237
 2.0000e+000 167385 199263
 2.0000e+000 173489 199289
 2.0000e+000 167407 199386
 2.0000e+000 167486 199412
 2.0000e+000 167725 199438
 2.0000e+000 173871 199464
 2.0000e+000 168508 199538
 2.0000e+000 165317 199564
 2.0000e+000 165295 199590
 2.0000e+000 173241 199616
 2.0000e+000 167357 199690
 2.0000e+000 164748 199716
 2.0000e+000 164776 199742
 2.0000e+000 172575 199768
 2.0000e+000 170521 199842
 2.0000e+000 170139 199868
 2.0000e+000 172298 199894
 2.0000e+000 172779 199920
 2.0000e+000 162512 199994
