Run   obj.function   $elasticModulus  $failureDisplacement  $poissonsRatio  $initialTensileStrength  
1     9.872477E+13  7.500000E+09  5.000000E-05  3.500000E-01  1.000000E+05  
2     1.014790E+14  7.600000E+09  5.000000E-05  3.500000E-01  1.000000E+05  
3     9.872477E+13  7.500000E+09  5.090000E-05  3.500000E-01  1.000000E+05  
4     9.807672E+13  7.500000E+09  5.000000E-05  3.510000E-01  1.000000E+05  
5     1.014279E+14  7.500000E+09  5.000000E-05  3.500000E-01  1.045000E+05  
6     1.063880E+14  7.393338E+09  5.000000E-05  3.600000E-01  5.500000E+04  
7     1.061382E+14  7.382881E+09  5.000000E-05  3.600000E-01  5.500000E+04  
8     1.066206E+14  7.402877E+09  5.000000E-05  3.600000E-01  5.500000E+04  
9     1.013784E+14  7.600000E+09  5.000000E-05  3.510000E-01  1.000000E+05  
10    9.807672E+13  7.500000E+09  5.090000E-05  3.510000E-01  1.000000E+05  
11    1.015301E+14  7.500000E+09  5.000000E-05  3.520000E-01  1.000000E+05  
12    9.676832E+13  7.500000E+09  5.000000E-05  3.510000E-01  1.045000E+05  
13    8.602462E+13  7.386975E+09  5.000000E-05  3.410000E-01  1.450000E+05  
14    8.575132E+13  7.376010E+09  5.000000E-05  3.410000E-01  1.450000E+05  
15    8.627614E+13  7.396997E+09  5.000000E-05  3.410000E-01  1.450000E+05  
16    8.103208E+13  7.246292E+09  5.000000E-05  3.310000E-01  1.900000E+05  
17    6.948480E+13  7.107139E+09  5.000000E-05  3.210000E-01  2.350000E+05  
18    6.211661E+13  6.963021E+09  5.000000E-05  3.110000E-01  2.800000E+05  
19    4.955361E+13  6.806857E+09  5.000000E-05  3.010000E-01  3.250000E+05  
20    5.279214E+13  6.653631E+09  5.000000E-05  3.005000E-01  3.700000E+05  
21    4.619023E+13  6.906857E+09  5.000000E-05  3.010000E-01  3.250000E+05  
22    4.955361E+13  6.806857E+09  5.090000E-05  3.010000E-01  3.250000E+05  
23    4.950840E+13  6.806857E+09  5.000000E-05  3.020000E-01  3.250000E+05  
24    5.134296E+13  6.806857E+09  5.000000E-05  3.010000E-01  3.295000E+05  
25    5.527303E+13  6.962928E+09  5.000000E-05  3.005000E-01  2.800000E+05  
26    5.407965E+13  6.977152E+09  5.000000E-05  3.005000E-01  2.800000E+05  
27    5.481779E+13  6.949756E+09  5.000000E-05  3.005000E-01  2.800000E+05  
28    5.393117E+13  7.006857E+09  5.000000E-05  3.010000E-01  3.250000E+05  
29    4.619023E+13  6.906857E+09  5.090000E-05  3.010000E-01  3.250000E+05  
30    4.819779E+13  6.906857E+09  5.000000E-05  3.020000E-01  3.250000E+05  
31    5.087106E+13  6.906857E+09  5.000000E-05  3.010000E-01  3.295000E+05  
32    6.935402E+13  6.872250E+09  5.000000E-05  3.110000E-01  2.800000E+05  
33    6.933091E+13  6.868843E+09  5.000000E-05  3.110000E-01  2.800000E+05  
34    6.939606E+13  6.875355E+09  5.000000E-05  3.110000E-01  2.800000E+05  
35    4.619023E+13  6.906857E+09  5.000000E-05  3.010000E-01  3.250000E+05  
36    5.393117E+13  7.006857E+09  5.000000E-05  3.010000E-01  3.250000E+05  
37    4.619023E+13  6.906857E+09  5.090000E-05  3.010000E-01  3.250000E+05  
38    4.819779E+13  6.906857E+09  5.000000E-05  3.020000E-01  3.250000E+05  
39    5.087106E+13  6.906857E+09  5.000000E-05  3.010000E-01  3.295000E+05  
