time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -2485425.08866 0.0 0.0 0.0 0.0
0.4 -520114.837164 -2485425.08866 27087.9885105 0.000491955280117 -0.000374764188587 -1.76260767053e-05
0.8 -546795.206857 -3590896.63764 40679.2303214 0.0013601057304 -0.000745018459406 -3.0795708964e-05
1.2 -546151.987093 -4393074.41299 61071.7488916 0.00240368923656 -0.00111726046624 -4.6730755174e-05
1.6 -550002.864509 -5062913.52124 58227.2819073 0.00353283628135 -0.00149021882265 -9.89624924081e-05
2.0 -557005.021376 -5706079.75584 58521.732281 0.00469978704093 -0.0018616483057 -0.000136348938724
2.4 -564616.525374 -6286673.57016 67460.7015771 0.00593704898724 -0.00222354728747 -0.000177097681452
2.8 -562293.211435 -6687907.0776 78157.9680047 0.0073459707651 -0.00257938052312 -0.000223491528122
3.2 -556247.921873 -7076626.00521 79198.5818172 0.00887743657022 -0.00294547929183 -0.000295772702651
3.6 -544878.619329 -7392863.89402 75031.5281745 0.0105475488944 -0.0033093345089 -0.000378930330777
4.0 -543726.588119 -7755356.3503 69947.5224978 0.0121562754997 -0.00368111582641 -0.000457890623039
4.4 -540483.548044 -8094267.97064 71653.3681828 0.0138036799555 -0.00407136803321 -0.000529721928013
4.8 -549389.298735 -8447415.34154 64971.5284682 0.0153621783847 -0.00443917937241 -0.000597597191626
5.2 -566489.380266 -8799095.17797 47133.4571041 0.0169055637836 -0.00481709048691 -0.000668427696075
5.6 -559288.262664 -8888994.58421 47776.2876267 0.0185422650987 -0.00521006207305 -0.00076322688053
6.0 -565721.274114 -9097291.68754 55641.9546262 0.0201797170919 -0.00558235012012 -0.000826756353259
6.4 -556205.377736 -9263381.3267 46898.307388 0.0220985641331 -0.00596808775115 -0.000966175063644
6.8 -558998.750083 -9387978.73435 58351.427216 0.0240630178819 -0.00631466253413 -0.00104871097172
7.2 -562769.700454 -9456519.06782 58732.974271 0.0260593344038 -0.00664770753265 -0.00111209492767
7.6 -572218.478416 -9701678.50061 53867.6237088 0.0280435474137 -0.00698627082371 -0.00120609557296
8.0 -580624.624802 -9642177.63576 59884.7943079 0.0300875551127 -0.00734937238746 -0.00136371702971
8.4 -561178.465279 -9567692.05712 63514.9041526 0.0323102098072 -0.00761683276377 -0.00144982599766
8.8 -529192.300971 -9032461.53139 70290.9036696 0.0345870664282 -0.00773670053947 -0.00152877491115
9.2 -473699.05444 -8301834.91883 86688.5867171 0.036982774448 -0.00785911993503 -0.00163121445542
9.6 -416890.875465 -7397909.97923 79598.7628885 0.0392610777528 -0.00792369719388 -0.00181829696499
10.0 -368790.998288 -6596900.47332 45288.222603 0.0412809844231 -0.00792660456853 -0.00197349834757
10.4 -318581.302451 -5927306.68022 18775.3514429 0.0430751431052 -0.00782632861181 -0.00202734236936
10.8 -276353.780539 -5207842.80112 1687.23442924 0.0445433113652 -0.00766018667962 -0.00197888117205
11.2 -231317.128391 -4496037.78215 1290.52748512 0.0454360992141 -0.00743199736605 -0.00191131481809
11.6 -192438.875369 -3705240.78935 -6158.5168738 0.0459791084343 -0.00715274745283 -0.00185826433748
12.0 -158087.625594 -2860328.10418 -9988.23225099 0.0463662637973 -0.00682410631111 -0.00180666228176
12.4 -120578.313734 -2150909.83036 -14864.5978795 0.0467108658886 -0.00645575993125 -0.00174459348515
12.8 -89703.7288278 -1476353.22678 -18843.784186 0.0469411813512 -0.00606463735053 -0.00170075854104
13.2 -71774.4915985 -1072442.58887 -7674.42770092 0.0471809470325 -0.00576640704467 -0.00166318020396
13.6 -53055.845904 -771104.107505 -5453.29029574 0.0473294981695 -0.00550410008451 -0.0016258509528
14.0 -39345.7465036 -564386.599145 -5260.49659254 0.0474274254035 -0.00524667377511 -0.0016011071254
14.4 -28298.1164019 -375665.663553 -7039.25943608 0.0474865966077 -0.00500227310255 -0.00157459725113
14.8 -19140.5412217 -261847.552574 -4856.46826114 0.0475341261127 -0.00483442056389 -0.00155045179935
15.2 -14006.8627674 -188202.768732 -3522.63901572 0.047583689622 -0.00472784041314 -0.00153686167905
15.6 -10797.6573498 -141683.056893 -1761.69698012 0.0476167029063 -0.00463954628013 -0.00152938743711
16.0 -7542.48516889 -95775.8849468 1873.1539464 0.0476360787887 -0.00457728879217 -0.001533088793
16.4 -6101.88510043 -76132.2688036 638.280619324 0.0476487547742 -0.00452772881944 -0.00154524248397
16.8 -5202.52829973 -60709.5156798 428.961779443 0.0476580682013 -0.00448604591678 -0.00155223673718
17.2 -4412.20207974 -48672.4646948 557.474619199 0.047665498394 -0.00445243946641 -0.00155701981262
17.6 -3772.4559196 -39841.6651915 488.104996314 0.0476713393454 -0.00442517484955 -0.00156126253303
18.0 -3190.74515473 -32623.8692445 449.269563893 0.0476764936779 -0.00440304948455 -0.00156437618268
18.4 -2624.21919328 -26336.6626465 356.352945827 0.047680417278 -0.00438558447402 -0.00156738121908
18.8 -2155.91896229 -21643.9604267 354.363364329 0.0476829367426 -0.00437096520322 -0.00157027661
19.2 -1765.44293224 -17814.7424024 323.978458327 0.047684907758 -0.00435923182778 -0.00157254201617
19.6 -1471.27482235 -14610.7851516 276.493503554 0.0476864869414 -0.00434945003646 -0.00157432193007
20.0 -1231.50614198 -12024.6820604 241.209350315 0.047688506817 -0.00434171123447 -0.00157621610811
